text,author,tags,header
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore,"{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship,"{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"misattributed-to-mother-teresa,paraphrased","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death,inspirational","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate,food,humor","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“We read to know we're not alone.”,William Nicholson,"misattributed-to-c-s-lewis,reading","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge,learning,understanding,wisdom","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books,library","{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“It is never too late to be what you might have been.”,George Eliot,inspirational,"{b'Content-Length': [b'10315'], b'Date': [b'Sun, 10 Sep 2023 17:52:22 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
