text,author,tags,header
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change,deep-thoughts,thinking,world","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities,choices","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational,life,live,miracle,miracles","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy,books,classic,humor","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself,inspirational","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood,success,value","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life,love","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison,failure,inspirational,paraphrased","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,"{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor,obvious,simile","{b'Content-Length': [b'11054'], b'Date': [b'Sun, 10 Sep 2023 12:27:59 GMT'], b'Content-Type': [b'text/html; charset=utf-8'], b'Strict-Transport-Security': [b'max-age=0; includeSubDomains; preload']}"
